Family_SCI,Family_CN
Accipitridae,鹰科
Acrocephalidae,苇莺科
Aegithalidae,长尾山雀科
Aegithinidae,雀鹎科
Alaudidae,百灵科
Alcedinidae,翠鸟科
Alcidae,海雀科
Alcippeidae,雀鹛科
Anatidae,鸭科
Anhingidae,蛇鹈科
Apodidae,雨燕科
Ardeidae,鹭科
Artamidae,燕鵙科
Bombycillidae,太平鸟科
Bucerotidae,犀鸟科
Burhinidae,石鸻科
Calcariidae,铁爪鹀科
Campephagidae,山椒鸟科
Caprimulgidae,夜鹰科
Certhiidae,旋木雀科
Charadriidae,鸻科
Chionidae,鞘嘴鸥科
Chloropseidae,叶鹎科
Ciconiidae,鹳科
Cinclidae,河乌科
Cisticolidae,扇尾莺科
Columbidae,鸠鸽科
Coraciidae,佛法僧科
Corvidae,鸦科
Cuculidae,杜鹃科
Dicaeidae,啄花鸟科
Dicruridae,卷尾科
Diomedeidae,信天翁科
Elachuridae,丽星鹩鹛科
Emberizidae,鹀科
Estrildidae,梅花雀科
Eurylaimidae,阔嘴鸟科
Falconidae,隼科
Fregatidae,军舰鸟科
Fringillidae,燕雀科
Gaviidae,潜鸟科
Glareolidae,燕鸻科
Gruidae,鹤科
Haematopodidae,蛎鹬科
Hemiprocnodae,凤头雨燕科
Hirundinidae,燕科
Hydrobatidae,海燕科
Ibidorhynchidae,鹮嘴鹬科
Indicatoridae,响蜜鴷科
Irenidae,和平鸟科
Jacanidae,水雉科
Laniidae,伯劳科
Laridae,鸥科
Leiothrichidae,噪鹛科
Locustellidae,蝗莺科
Megalaimidae,拟啄木鸟科
Meropidae,蜂虎科
Monarchidae,王鹟科
Motacillidae,鹡鸰科
Muscicapidae,鹟科
Nectariniidae,花蜜鸟科
Oceanitidae,南海燕科
Oriolidae,黄鹂科
Otididae,鸨科
Pandionidae,鹗科
Panuridae,文须雀科
Paradoxornithidae,鸦雀科
Paridae,山雀科
Passerellidae,雀鹀科
Passeridae,雀科
Pelecanidae,鹈鹕科
Pellorneidae,幽鹛科
Phaethontidae,鹲科
Phalacrocoracidae,鸬鹚科
Phasianidae,雉科
Phoenicopteridae,红鹳科
Phylloscopidae,柳莺科
Picidae,啄木鸟科
Pittidae,八色鸫科
Ploceidae,织雀科
Pnoepygidae,鳞胸鹪鹛科
Podargidae,蛙口夜鹰科
Podicipedidae,䴙䴘科
Procellariidae,鹱科
Prunellidae,岩鹨科
Psittacidae,鹦鹉科
Pteroclidae,沙鸡科
Pycnonotidae,鹎科
Rallidae,秧鸡科
Recurvirostridae,反嘴鹬科
Regulidae,戴菊科
Remizidae,攀雀科
Rhipiduridae,扇尾鹟科
Rostratulidae,彩鹬科
Scolopacidae,鹬科
Scotocercidae,树莺科
Sittidae,䴓科
Stenostiridae,玉鹟科
Stercorariidae,贼鸥科
Strigidae,鸱鸮科
Sturnidae,椋鸟科
Sulidae,鲣鸟科
Sylviidae,莺鹛科
Threskiornithidae,鹮科
Timaliidae,林鹛科
Troglodytidae,鹪鹩科
Trogonidae,咬鹃科
Turdidae,鸫科
Turnicidae,三趾鹑科
Tytonidae,草鸮科
Upupidae,戴胜科
Urocynchramidae,朱鹀科
Vangidae,钩嘴鵙科
Vireonidae,莺雀科
Zosteropidae,绣眼鸟科
