Family_SCI,Family_CN
Acanthisittidae,Acanthisittidae
Acanthizidae,Acanthizidae
Accipitridae,鹰科
Acrocephalidae,苇莺科
Aegithalidae,长尾山雀科
Aegithinidae,雀鹎科
Aegothelidae,Aegothelidae
Alaudidae,百灵科
Alcedinidae,翠鸟科
Alcidae,海雀科
Alcippeidae,雀鹛科
Anatidae,鸭科
Anhimidae,Anhimidae
Anhingidae,蛇鹈科
Anseranatidae,Anseranatidae
Apodidae,雨燕科
Apterygidae,几维科
Aramidae,秧鸡科
Ardeidae,鹭科
Artamidae,燕鵙科
Atrichornithidae,Atrichornithidae
Balaenicipitidae,Balaenicipitidae
Bernieridae,Bernieridae
Bombycillidae,太平鸟科
Brachypteraciidae,地佛法僧科
Bucconidae,蓬头鴷科
Bucerotidae,犀鸟科
Bucorvidae,Bucorvidae
Buphagidae,Buphagidae
Burhinidae,石鸻科
Cacatuidae,凤头鹦鹉科
Calcariidae,铁爪鹀科
Callaeidae,Callaeidae
Calyptomenidae,Calyptomenidae
Calyptophilidae,Calyptophilidae
Campephagidae,山椒鸟科
Capitonidae,Capitonidae
Caprimulgidae,夜鹰科
Cardinalidae,Cardinalidae
Cariamidae,鹤鸵科
Casuariidae,Casuariidae
Cathartidae,美洲鹫科
Centropodidae,鸦鹃科
Certhiidae,旋木雀科
Cettiidae,Cettiidae
Chaetopidae,Chaetopidae
Charadriidae,鸻科
Chionidae,鞘嘴鸥科
Chloropseidae,叶鹎科
Ciconiidae,鹳科
Cinclidae,河乌科
Cinclosomatidae,Cinclosomatidae
Cisticolidae,扇尾莺科
Climacteridae,Climacteridae
Cnemophilidae,Cnemophilidae
Coliidae,鼠鸟科
Columbidae,鸠鸽科
Conopophagidae,Conopophagidae
Coraciidae,佛法僧科
Corcoracidae,Corcoracidae
Corvidae,鸦科
Cotingidae,Cotingidae
Cracidae,凤冠雉科
Cuculidae,杜鹃科
Dasyornithidae,Dasyornithidae
Dicaeidae,啄花鸟科
Dicruridae,卷尾科
Diomedeidae,信天翁科
Donacobiidae,Donacobiidae
Dromadidae,蟹鸻科
Dulidae,Dulidae
Elachuridae,丽星鹩鹛科
Emberizidae,鹀科
Erythrocercidae,Erythrocercidae
Estrildidae,梅花雀科
Eulacestomatidae,Eulacestomatidae
Eupetidae,Eupetidae
Eurylaimidae,阔嘴鸟科
Eurypygidae,日鳽科
Falconidae,隼科
Falcunculidae,Falcunculidae
Formicariidae,Formicariidae
Fregatidae,军舰鸟科
Fringillidae,燕雀科
Furnariidae,查
Galbulidae,鴷雀科
Gaviidae,潜鸟科
Glareolidae,燕鸻科
Grallariidae,Grallariidae
Gruidae,鹤科
Haematopodidae,蛎鹬科
Heliornithidae,秧鹤科
Hemiprocnidae,凤头雨燕科
Hemiprocnodae,凤头雨燕科
Hirundinidae,燕科
Hydrobatidae,海燕科
Hyliidae,Hyliidae
Hyliotidae,Hyliotidae
Hylocitreidae,Hylocitreidae
Hypocoliidae,Hypocoliidae
Ibidorhynchidae,鹮嘴鹬科
Icteridae,Icteridae
Icteriidae,Icteriidae
Ifritidae,Ifritidae
Indicatoridae,响蜜鴷科
Irenidae,和平鸟科
Jacanidae,雉鸻科
Laniidae,伯劳科
Laridae,鸥科
Leiothrichidae,噪鹛科
Leptosomatidae,鹃鴗科
Leptosomidae,Leptosomidae
Locustellidae,蝗莺科
Lybiidae,Lybiidae
