Genus_SCI,Genus_CN
Abeillia,翠颏蜂鸟
Abroscopus,拟鹟莺属
Aburria,肉垂冠雉
Acanthagenys,刺颊垂蜜鸟
Acanthidops,尖嘴雀
Acanthis,白腰朱顶雀
Acanthisitta,刺鹩
Acanthiza,黄尾刺嘴莺
Acanthorhynchus,东尖嘴吸蜜鸟
Acanthornis,灌丛丝刺莺
Accipiter,鹰属
Aceros,无盔犀鸟属
Achaetops,岩莺
Acridotheres,八哥属
Acritillas,黄眉属
Acrobatornis,粉腿针尾雀
Acrocephalus,苇莺属
Acrochordopus,毛腿小霸鹟
Acropternis,眼斑窜鸟
Acryllium,鹫珠属
Actenoides,绿背属
Actinodura,斑翅鹛属
Actitis,矶鹬属
Actophilornis,非洲雉
Adelomyia,鳞斑蜂鸟
Aechmophorus,北美属
Aegithalos,长尾山雀属
Aegithina,雀鹎属
Aegolius,鬼鸮属
Aegotheles,大裸鼻夜鹰
Aegypius,秃鹫属
Aenigmatolimnas,斑纹属
Aepypodius,肉垂塚雉
Aerodramus,金丝燕属
Aeronautes,白喉雨燕
Aerospiza,栗胁雀鹰
Aethia,小海雀
Aethomyias,淡嘴丝刺莺
Aethopyga,太阳鸟属
Afropavo,刚果孔雀
Afrotis,黑鸨属
Agamia,栗腹鹭
Agapornis,灰头属
Agelaioides,栗翅牛鹂
Agelaius,黄肩黑鹂
Agelastes,白胸属
Agelasticus,黄翅黑鹂
Aglaeactis,闪羽蜂鸟
Aglaiocercus,长尾蜂鸟
Agraphospiza,赤朱雀
Agricola,苍色鹟
Agriornis,黑嘴鵙霸鹟
Agropsar,北椋鸟
Aidemosyne,褐头星雀
Ailuroedus,赭胸园丁鸟
Aimophila,锈红猛雀
Aix,鸳鸯属
Akialoa,长嘴导颚雀
Akletos,白肩蚁鸟
Alaemon,拟戴胜百灵
Alauda,云雀属
Alaudala,亚洲短趾百灵
Alca,刀嘴海雀
Alcedo,翠鸟属
Alcippe,雀鹛属
Alcurus,纵纹属
Aleadryas,棕颈钟鹟
Alectoris,石鸡属
Alectroenas,模里西斯蓝鸠
Alectrurus,鸡尾霸鹟
Alectura,大塚雉
Alethe,白尾鸲鸫
Alipiopsitta,黄颊属
Alisterus,安汶属
Alle,黑头海雀
Allenia,鳞胸嘲鸫
Alophoixus,灰头属
Alopochelidon,棕头燕
Alopochen,埃及雁
Amadina,环喉雀
Amalocichla,小地属
Amandava,绿梅花雀
Amaurolimnas,纯色属
Amaurornis,苦恶鸟属
Amaurospiza,蓝籽雀
Amazilia,桂红蜂鸟
Amazilis,艳蜂鸟
Amazona,红额属
Amazonetta,巴西属
Amblycercus,黄嘴酋长鹂
Amblyornis,褐色园丁鸟
Amblyospiza,厚嘴织雀
Amblyramphus,红头黑鹂
Amirafra,领歌百灵
Ammodramus,黄胸属
Ammomanes,漠百灵
Ammomanopsis,格氏漠百灵
Ammonastes,灰腹蚁鸟
Ammoperdix,漠鹑属
Ammospiza,莱氏属
Ampeliceps,树八哥属
Ampelioides,鳞斑食果伞鸟
Ampelion,红冠伞鸟
Ampelornis,灰头蚁鸟
Amphispiza,黑喉属
Amphispizopsis,五纹猛雀
Amytornis,灰草鹩莺
Anabacerthia,高山拾叶雀
Anabathmis,瑞氏花蜜鸟
Anabazenops,冠拾叶雀
Anairetes,黑冠雀
Anaplectes,红头编织雀
Anarhynchus,红胸属
Anas,(河)鸭属
Anastomus,非洲属
Ancistrops,栗翅钩嘴雀
Andigena,扁嘴山巨嘴鸟
Androdon,齿嘴蜂鸟
Andropadus,黄腹属
Androphobus,绿背鹛
Anhima,角叫鸭
Anhinga,美洲属
Anisognathus,蓝翅岭裸鼻雀
Anodorhynchus,紫蓝属
Anomalospiza,寄生维达雀
Anopetia,阔尾隐蜂鸟
Anorrhinus,小盔犀鸟属
Anous,玄燕鸥属
Anser,雁属
Anseranas,鹊雁
Anthipes,白喉姬鹟
Anthobaphes,橙胸花蜜鸟
Anthocephala,花顶蜂鸟
Anthochaera,灰颊垂蜜鸟
Anthornis,新西兰吸蜜鸟
Anthoscopus,斑额攀雀
Anthracoceros,斑犀鸟属
Anthracothorax,牙买加芒果蜂鸟
Anthreptes,直嘴太阳鸟属
Anthus,鹨属
Antigone,沙丘鹤
Antrostomus,卡氏夜鹰
Anumara,福氏黑鹂
Anumbius,集木雀
Anurolimnas,栗头属
Apalharpactes,蓝尾属
Apalis,斑喉娇莺
Apaloderma,绿颊属
Apalopteron,笠原绣眼鸟
Aphanapteryx,红秧属
